time,type,step,message
2024-02-21 11:25:38,Message,,"LoadTest started at Wed Feb 21 11:25:38 CET 2024"
2024-02-21 11:26:38,Message,,"LoadTest ended at Wed Feb 21 11:26:38 CET 2024"
